Urea (Ton),,,,,
"Kode Provinsi 
Kemendagri",Provinsi,Tahun,Alokasi/Realisasi,Ton,
63,Kalimantan Selatan,2022,Alokasi,"29,600.00",
64,Kalimantan Timur,2022,Alokasi,"14,735.00",
65,Kalimantan Utara,2022,Alokasi,"4,191.00",
71,Sulawesi Utara,2022,Alokasi,"21,169.00",
72,Sulawesi Tengah,2022,Alokasi,"37,553.00",
73,Sulawesi Selatan,2022,Alokasi,"358,354.00",
74,Sulawesi Tenggara,2022,Alokasi,"22,585.00",
75,Gorontalo,2022,Alokasi,"47,980.00",
76,Sulawesi Barat,2022,Alokasi,"36,384.00",
81,Maluku,2022,Alokasi,"2,910.00",
82,Maluku Utara,2022,Alokasi,908.00,
91,Papua,2022,Alokasi,"9,911.00",
92,Papua Barat,2022,Alokasi,"1,308.00",
11,Aceh,2022,Realisasi,"76,913.28",
12,Sumatera Utara,2022,Realisasi,"161,980.07",
13,Sumatera Barat,2022,Realisasi,"75,316.53",
14,Riau,2022,Realisasi,"25,749.60",
15,Jambi,2022,Realisasi,"26,008.04",
16,Sumatera Selatan,2022,Realisasi,"117,545.10",
17,Bengkulu,2022,Realisasi,"22,775.17",
18,Lampung,2022,Realisasi,"276,139.16",
19,Kep. Bangka Belitung,2022,Realisasi,"16,606.60",
21,Kepulauan Riau,2022,Realisasi,62.53,
31,DKI Jakarta,2022,Realisasi,51.25,
32,Jawa Barat,2022,Realisasi,"540,289.91",
33,Jawa Tengah,2022,Realisasi,"660,667.58",
34,D.I. Yogyakarta,2022,Realisasi,"34,583.33",
35,Jawa Timur,2022,Realisasi,"1,002,732.61",
36,Banten,2022,Realisasi,"57,579.04",
51,Bali,2022,Realisasi,"29,186.86",
52,Nusa Tenggara Barat,2022,Realisasi,"215,930.85",
53,Nusa Tenggara Timur,2022,Realisasi,"24,762.73",
61,Kalimantan Barat,2022,Realisasi,"32,707.75",
62,Kalimantan Tengah,2022,Realisasi,"12,895.65",
63,Kalimantan Selatan,2022,Realisasi,"28,326.72",
64,Kalimantan Timur,2022,Realisasi,"12,526.50",
65,Kalimantan Utara,2022,Realisasi,"2,676.64",
71,Sulawesi Utara,2022,Realisasi,"18,601.93",
72,Sulawesi Tengah,2022,Realisasi,"36,277.25",
73,Sulawesi Selatan,2022,Realisasi,"347,150.85",
74,Sulawesi Tenggara,2022,Realisasi,"20,363.85",
75,Gorontalo,2022,Realisasi,"45,914.07",
76,Sulawesi Barat,2022,Realisasi,"35,025.33",
81,Maluku,2022,Realisasi,"2,392.90",
82,Maluku Utara,2022,Realisasi,630.50,
91,Papua,2022,Realisasi,"9,054.05",
92,Papua Barat,2022,Realisasi,986.48,
