TANAMAN,JENIS,KODE PROVINSI (BPS),PROVINSI,TAHUN,LUAS PANEN (HA),PRODUKSI (KWINTAL),PRODUKTIVITAS
Bawang Putih,Sayuran,53,NUSA TENGGARA TIMUR,2021,209.98,5787.23, 27.56 
Bawang Putih,Sayuran,61,KALIMANTAN BARAT,2021,0,0, -   
Bawang Putih,Sayuran,62,KALIMANTAN TENGAH,2021,0,0, -   
Bawang Putih,Sayuran,63,KALIMANTAN SELATAN,2021,0,0, -   
Bawang Putih,Sayuran,64,KALIMANTAN TIMUR,2021,0,0, -   
Bawang Putih,Sayuran,65,KALIMANTAN UTARA,2021,0,0, -   
Bawang Putih,Sayuran,71,SULAWESI UTARA,2021,12,112, 9.33 
Bawang Putih,Sayuran,72,SULAWESI TENGAH,2021,67,2110, 31.49 
Bawang Putih,Sayuran,73,SULAWESI SELATAN,2021,34,471, 13.85 
Bawang Putih,Sayuran,74,SULAWESI TENGGARA,2021,0,0, -   
Bawang Putih,Sayuran,75,GORONTALO,2021,4,60, 15.00 
Bawang Putih,Sayuran,76,SULAWESI BARAT,2021,11,360, 32.73 
Bawang Putih,Sayuran,81,MALUKU,2021,0,0, -   
Bawang Putih,Sayuran,82,MALUKU UTARA,2021,0,0, -   
Bawang Putih,Sayuran,91,PAPUA BARAT,2021,1.09,45.63, 41.86 
Bawang Putih,Sayuran,94,PAPUA,2021,1,2.0000001, 2.00 
Bayam,Sayuran,11,ACEH,2021,1551.79,43119.7, 27.79 
Bayam,Sayuran,12,SUMATERA UTARA,2021,3064.72,179799.17, 58.67 
Bayam,Sayuran,13,SUMATERA BARAT,2021,1410.34,71250.4, 50.52 
Bayam,Sayuran,14,RIAU,2021,2367.4,83776.49, 35.39 
Bayam,Sayuran,15,JAMBI,2021,1377.34,37606.9, 27.30 
Bayam,Sayuran,16,SUMATERA SELATAN,2021,1659.28,39727.47, 23.94 
Bayam,Sayuran,17,BENGKULU,2021,884.29,7212.57, 8.16 
Bayam,Sayuran,18,LAMPUNG,2021,2799.15,83623.73, 29.87 
Bayam,Sayuran,19,KEPULAUAN BANGKA BELITUNG,2021,284.82,11157.34, 39.17 
Bayam,Sayuran,21,KEPULAUAN RIAU,2021,464.61,25612.23, 55.13 
Bayam,Sayuran,31,DKI JAKARTA,2021,518.44,34689.95, 66.91 
Bayam,Sayuran,32,JAWA BARAT,2021,4933.55,344909.01, 69.91 
Bayam,Sayuran,33,JAWA TENGAH,2021,2043.68,104423.54, 51.10 
Bayam,Sayuran,34,DI YOGYAKARTA,2021,460.06,20380.95, 44.30 
Bayam,Sayuran,35,JAWA TIMUR,2021,2586.19,137661.6, 53.23 
Bayam,Sayuran,36,BANTEN,2021,1676.93,89721.9, 53.50 
Bayam,Sayuran,51,BALI,2021,287.31,9428.0801, 32.82 
